Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200103_191307.549344	-0.5	0.1162	-0.5	0.1858	1.5	-0.8048	0	
20200103_191307.565322	-0.5	0.1166	-0.5	0.1858	1.5	-0.8024	1	
20200103_191307.579147	-0.5	0.1166	-0.5	0.1859	1.5	-0.8016	1	
20200103_191307.703053	-0.5	0.114	-0.5	0.1834	1.5	-0.8171	1	
20200103_191307.813541	-0.5	0.1102	-0.5	0.1766	1.5	-0.9293	1	
20200103_191307.923466	-0.5	0.0998	-0.5	0.168	1.5	-1.0142	1	
20200103_191307.992610	-0.5	0.094	-0.5	0.1629	1.5	-1.0639	1	
20200103_191308.110914	-0.5	0.0784	-0.5	0.1537	1.5	-1.0939	1	
20200103_191308.213221	-0.5	0.0611	-0.5	0.1448	1.5	-1.1074	1	
20200103_191308.280893	-0.5	0.048	-0.5	0.1384	1.5	-1.1208	1	
20200103_191308.401422	-0.5	0.03	-0.5	0.1289	1.5	-1.0979	1	
20200103_191308.512222	-0.5	0.0129	-0.5	0.1196	1.5	-1.082	1	
20200103_191308.620839	-0.5	-0.0026	-0.5	0.1129	1.5	-1.0455	1	
20200103_191308.691780	-0.5	-0.0133	-0.5	0.106	1.5	-1.0403	1	
20200103_191308.802772	-0.5	-0.03	-0.5	0.0969	1.5	-1.0224	1	
20200103_191308.911631	-0.5	-0.0456	-0.5	0.0883	1.5	-1.0013	1	
20200103_191308.979461	-0.5	-0.0563	-0.5	0.0821	1.5	-1.0047	1	
20200103_191309.102224	-0.5	-0.0759	-0.5	0.07	1.5	-1.0028	1	
20200103_191309.212948	-0.5	-0.0923	-0.5	0.0592	1.5	-0.9782	1	
20200103_191309.321791	-0.5	-0.1123	-0.5	0.0467	1.5	-0.9684	1	
20200103_191309.392337	-0.5	-0.1206	-0.5	0.0406	1.5	-0.9394	1	
20200103_191309.493425	-0.5	-0.1374	-0.5	0.0289	1.5	-0.9151	1	
20200103_191309.612151	-0.5	-0.1547	-0.5	0.0162	1.5	-0.8986	1	
20200103_191309.730850	-0.5	-0.1717	-0.5	0.0022	1.5	-0.8849	1	
20200103_191309.802581	-0.5	-0.1826	-0.5	-0.0054	1.5	-0.8762	1	
20200103_191309.912295	-0.5	-0.1978	-0.5	-0.0181	1.5	-0.8703	1	
20200103_191310.021653	-0.5	-0.2129	-0.5	-0.033	1.5	-0.8651	1	
20200103_191310.092530	-0.5	-0.2211	-0.5	-0.0402	1.5	-0.862	1	
20200103_191310.211575	-0.5	-0.2374	-0.5	-0.0528	1.5	-0.8497	1	
20200103_191310.312893	-0.5	-0.2505	-0.5	-0.0648	1.5	-0.8298	1	
20200103_191310.380057	-0.5	-0.258	-0.5	-0.0716	1.5	-0.8149	1	
20200103_191310.504186	-0.5	-0.2734	-0.5	-0.0855	1.5	-0.7881	1	
20200103_191310.611620	-0.5	-0.2883	-0.5	-0.0995	1.5	-0.7647	1	
20200103_191310.722966	-0.5	-0.3026	-0.5	-0.1141	1.5	-0.7383	1	
20200103_191310.792066	-0.5	-0.312	-0.5	-0.1226	1.5	-0.7164	1	
20200103_191310.901098	-0.5	-0.3252	-0.5	-0.1368	1.5	-0.7012	1	
20200103_191311.013935	-0.5	-0.3385	-0.5	-0.1535	1.5	-0.6927	1	
20200103_191311.131672	-0.5	-0.3526	-0.5	-0.1705	1.5	-0.6814	1	
20200103_191311.203714	-0.5	-0.3601	-0.5	-0.1789	1.5	-0.6723	1	
20200103_191311.310401	-0.5	-0.3725	-0.5	-0.1941	1.5	-0.648	1	
20200103_191311.422576	-0.5	-0.3837	-0.5	-0.2094	1.5	-0.6303	1	
20200103_191311.491234	-0.5	-0.3923	-0.5	-0.2196	1.5	-0.605	1	
20200103_191311.600258	-0.5	-0.4023	-0.5	-0.2343	1.5	-0.587	1	
20200103_191311.712614	-0.5	-0.4133	-0.5	-0.2501	1.5	-0.5599	1	
20200103_191311.832525	-0.5	-0.4241	-0.5	-0.2672	1.5	-0.5294	1	
20200103_191311.892076	-0.5	-0.4292	-0.5	-0.2758	1.5	-0.5209	1	
20200103_191312.004175	-0.5	-0.4393	-0.5	-0.2924	1.5	-0.4876	1	
20200103_191312.121842	-0.5	-0.4494	-0.5	-0.3095	1.5	-0.4601	1	
20200103_191312.192970	-0.5	-0.455	-0.5	-0.3204	1.5	-0.4376	1	
20200103_191312.300854	-0.5	-0.4635	-0.5	-0.3356	1.5	-0.4	1	
20200103_191312.413716	-0.5	-0.4708	-0.5	-0.352	1.5	-0.348	1	
20200103_191312.531795	-0.5	-0.4778	-0.5	-0.3668	1.5	-0.2793	1	
20200103_191312.592012	-0.5	-0.4811	-0.5	-0.3755	1.5	-0.2437	1	
20200103_191312.711816	-0.5	-0.4854	-0.5	-0.391	1.5	-0.1741	1	
20200103_191312.822775	-0.5	-0.4892	-0.5	-0.4056	1.5	-0.1368	1	
20200103_191312.891828	-0.5	-0.4895	-0.5	-0.4114	1.5	-0.1348	1	
20200103_191313.002110	-0.5	-0.4903	-0.5	-0.4184	1.5	-0.1522	1	
20200103_191313.112703	-0.5	-0.4895	-0.5	-0.4198	1.5	-0.1872	1	
20200103_191313.232239	-0.5	-0.4908	-0.5	-0.4198	1.5	-0.1278	1	
20200103_191313.292039	-0.5	-0.4916	-0.5	-0.4199	1.5	-0.0822	1	
20200103_191313.411851	-0.5	-0.4935	-0.5	-0.4211	1.5	0.0182	1	
20200103_191313.520648	-0.5	-0.4958	-0.5	-0.4207	1.5	0.1295	1	
20200103_191313.591399	-0.5	-0.4969	-0.5	-0.4213	1.5	0.1952	1	
20200103_191313.701116	-0.5	-0.499	-0.5	-0.4224	1.5	0.2976	1	
20200103_191313.813051	-0.5	-0.5013	-0.5	-0.4231	1.5	0.398	1	
20200103_191313.932076	-0.5	-0.5029	-0.5	-0.4244	1.5	0.493	1	
20200103_191313.990985	-0.5	-0.5036	-0.5	-0.4245	1.5	0.5422	1	
20200103_191314.104719	-0.5	-0.5056	-0.5	-0.4259	1.5	0.6336	1	
20200103_191314.222458	-0.5	-0.5055	-0.5	-0.4278	1.5	0.7171	1	
20200103_191314.282330	-0.5	-0.5065	-0.5	-0.4283	1.5	0.7623	1	
20200103_191314.400966	-0.5	-0.5077	-0.5	-0.428	1.5	0.838	1	
20200103_191314.513459	-0.5	-0.5082	-0.5	-0.4302	1.5	0.9247	1	
20200103_191314.631341	-0.5	-0.5092	-0.5	-0.4314	1.5	1.0076	1	
