Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200424_212546.001390	0.5	0.398	-1.22464679915e-16	-0.0364	0.0	-0.0921	1	
20200424_212546.097062	0.5	0.3982	-1.22464679915e-16	-0.0366	0.0	-0.0859	1	
20200424_212546.197163	0.5	0.4025	-1.22464679915e-16	-0.0387	0.0	-0.0169	1	
20200424_212546.297249	0.5	0.4098	-1.22464679915e-16	-0.0417	0.0	0.1355	1	
20200424_212546.397282	0.5	0.4174	-1.22464679915e-16	-0.0453	0.0	0.275	1	
20200424_212546.497025	0.5	0.4283	-1.22464679915e-16	-0.0459	0.0	0.4214	1	
20200424_212546.597004	0.5	0.4389	-1.22464679915e-16	-0.0448	0.0	0.5409	1	
20200424_212546.697355	0.5	0.4472	-1.22464679915e-16	-0.0426	0.0	0.6095	1	
20200424_212546.797163	0.5	0.4484	-1.22464679915e-16	-0.0411	0.0	0.5903	1	
20200424_212546.897272	0.5	0.4481	-1.22464679915e-16	-0.0394	0.0	0.5402	1	
20200424_212546.997466	0.5	0.4464	-1.22464679915e-16	-0.0378	0.0	0.4702	1	
20200424_212547.097370	0.5	0.4452	-1.22464679915e-16	-0.0359	0.0	0.4103	1	
20200424_212547.197396	0.5	0.4431	-1.22464679915e-16	-0.0345	0.0	0.329	1	
20200424_212547.297597	0.5	0.4429	-1.22464679915e-16	-0.0331	0.0	0.2929	1	
20200424_212547.397549	0.5	0.4423	-1.22464679915e-16	-0.0315	0.0	0.2333	1	
20200424_212547.497470	0.5	0.441	-1.22464679915e-16	-0.0298	0.0	0.172	1	
20200424_212547.597003	0.5	0.4405	-1.22464679915e-16	-0.0283	0.0	0.1172	1	
20200424_212547.697490	0.5	0.4399	-1.22464679915e-16	-0.0267	0.0	0.0661	1	
20200424_212547.798805	0.5	0.4392	-1.22464679915e-16	-0.0248	0.0	-0.0046	0	
20200424_212547.897016	0.5	0.4391	-1.22464679915e-16	-0.0242	0.0	-0.0087	0	
20200424_212547.997410	0.5	0.4391	-1.22464679915e-16	-0.0239	0.0	-0.0127	0	
20200424_212548.097118	1.38003675534	0.4394	0.448401123334	-0.024	0.314159265359	-0.0062	1	
20200424_212548.197273	1.38003675534	0.4464	0.448401123334	-0.0251	0.314159265359	0.0067	1	
20200424_212548.297353	1.38003675534	0.4566	0.448401123334	-0.0271	0.314159265359	0.1047	1	
20200424_212548.398020	1.38003675534	0.4691	0.448401123334	-0.0291	0.314159265359	0.2062	1	
20200424_212548.497636	1.38003675534	0.4827	0.448401123334	-0.0279	0.314159265359	0.2642	1	
20200424_212548.596952	1.38003675534	0.4985	0.448401123334	-0.0256	0.314159265359	0.3528	1	
20200424_212548.697636	1.38003675534	0.515	0.448401123334	-0.0218	0.314159265359	0.3995	1	
20200424_212548.797272	1.38003675534	0.5308	0.448401123334	-0.0159	0.314159265359	0.4076	1	
20200424_212548.897502	1.38003675534	0.547	0.448401123334	-0.0092	0.314159265359	0.4523	1	
20200424_212548.997285	1.38003675534	0.5644	0.448401123334	-0.0015	0.314159265359	0.4577	1	
20200424_212549.097329	1.38003675534	0.5821	0.448401123334	0.0076	0.314159265359	0.4607	1	
20200424_212549.197365	1.38003675534	0.5987	0.448401123334	0.015	0.314159265359	0.4591	1	
20200424_212549.297148	1.38003675534	0.6162	0.448401123334	0.0228	0.314159265359	0.4423	1	
20200424_212549.397131	1.38003675534	0.6341	0.448401123334	0.0309	0.314159265359	0.467	1	
20200424_212549.497206	1.38003675534	0.6523	0.448401123334	0.0399	0.314159265359	0.4661	1	
20200424_212549.598295	1.38003675534	0.6708	0.448401123334	0.0493	0.314159265359	0.4747	1	
20200424_212549.697501	1.38003675534	0.6887	0.448401123334	0.0579	0.314159265359	0.4756	1	
20200424_212549.797509	1.38003675534	0.7082	0.448401123334	0.0669	0.314159265359	0.4852	1	
20200424_212549.897140	1.38003675534	0.7251	0.448401123334	0.0742	0.314159265359	0.4906	1	
20200424_212549.997305	1.38003675534	0.7434	0.448401123334	0.0843	0.314159265359	0.4956	1	
20200424_212550.097778	0.880036755335	0.7596	0.639384128959	0.0937	0.628318530718	0.4943	1	
20200424_212550.197167	0.880036755335	0.7746	0.639384128959	0.0984	0.628318530718	0.5699	1	
20200424_212550.297159	0.880036755335	0.7859	0.639384128959	0.1027	0.628318530718	0.6518	1	
20200424_212550.397138	0.880036755335	0.7959	0.639384128959	0.1054	0.628318530718	0.7852	1	
20200424_212550.497546	0.880036755335	0.8056	0.639384128959	0.1108	0.628318530718	0.8967	1	
20200424_212550.596987	0.880036755335	0.8148	0.639384128959	0.1176	0.628318530718	1.0231	1	
20200424_212550.697413	0.880036755335	0.8219	0.639384128959	0.1235	0.628318530718	1.1415	1	
20200424_212550.797493	0.880036755335	0.8294	0.639384128959	0.1339	0.628318530718	1.2446	1	
20200424_212550.897128	0.880036755335	0.8363	0.639384128959	0.1458	0.628318530718	1.3286	1	
20200424_212550.997297	0.880036755335	0.8412	0.639384128959	0.1602	0.628318530718	1.3867	1	
20200424_212551.097473	0.880036755335	0.845	0.639384128959	0.1771	0.628318530718	1.4205	1	
20200424_212551.197527	0.880036755335	0.8482	0.639384128959	0.1957	0.628318530718	1.469	1	
20200424_212551.297162	0.880036755335	0.85	0.639384128959	0.2152	0.628318530718	1.4741	1	
20200424_212551.397328	0.880036755335	0.8539	0.639384128959	0.2349	0.628318530718	1.4672	1	
20200424_212551.497345	0.880036755335	0.8543	0.639384128959	0.2526	0.628318530718	1.4642	1	
20200424_212551.596943	0.880036755335	0.857	0.639384128959	0.2721	0.628318530718	1.4919	1	
20200424_212551.697369	0.880036755335	0.8585	0.639384128959	0.2911	0.628318530718	1.4702	1	
20200424_212551.797177	0.880036755335	0.8604	0.639384128959	0.3139	0.628318530718	1.4965	1	
20200424_212551.897688	0.880036755335	0.8623	0.639384128959	0.3311	0.628318530718	1.4787	1	
20200424_212551.997457	0.880036755335	0.8632	0.639384128959	0.3522	0.628318530718	1.5034	1	
20200424_212552.097622	0.639384128959	0.865	0.880036755335	0.3733	0.942477796077	1.4946	1	
20200424_212552.197367	0.639384128959	0.8678	0.880036755335	0.3893	0.942477796077	1.5481	1	
20200424_212552.297328	0.639384128959	0.87	0.880036755335	0.3996	0.942477796077	1.6327	1	
20200424_212552.397576	0.639384128959	0.8717	0.880036755335	0.4123	0.942477796077	1.7543	1	
20200424_212552.497093	0.639384128959	0.872	0.880036755335	0.4266	0.942477796077	1.8549	1	
20200424_212552.597273	0.639384128959	0.8701	0.880036755335	0.4401	0.942477796077	1.9133	1	
20200424_212552.697094	0.639384128959	0.866	0.880036755335	0.4544	0.942477796077	1.9557	1	
20200424_212552.797316	0.639384128959	0.861	0.880036755335	0.4719	0.942477796077	1.9905	1	
20200424_212552.897759	0.639384128959	0.8538	0.880036755335	0.4883	0.942477796077	1.9933	1	
20200424_212552.997191	0.639384128959	0.846	0.880036755335	0.5026	0.942477796077	1.9754	1	
20200424_212553.097402	0.639384128959	0.839	0.880036755335	0.5203	0.942477796077	1.9837	1	
20200424_212553.197090	0.639384128959	0.8309	0.880036755335	0.5402	0.942477796077	1.9924	1	
20200424_212553.297052	0.639384128959	0.8236	0.880036755335	0.5573	0.942477796077	2.0114	1	
20200424_212553.397242	0.639384128959	0.8163	0.880036755335	0.5736	0.942477796077	2.0145	1	
20200424_212553.497767	0.639384128959	0.8079	0.880036755335	0.5908	0.942477796077	2.0144	1	
20200424_212553.597063	0.639384128959	0.7991	0.880036755335	0.6105	0.942477796077	2.0153	1	
20200424_212553.697509	0.639384128959	0.7917	0.880036755335	0.6271	0.942477796077	2.0193	1	
20200424_212553.797409	0.639384128959	0.7839	0.880036755335	0.6455	0.942477796077	2.0298	1	
20200424_212553.897302	0.639384128959	0.7769	0.880036755335	0.6603	0.942477796077	2.037	1	
20200424_212553.997509	0.639384128959	0.7681	0.880036755335	0.6785	0.942477796077	2.058	1	
20200424_212554.097526	0.448401123334	0.7604	1.38003675534	0.6943	1.25663706144	2.0713	1	
20200424_212554.197686	0.448401123334	0.7516	1.38003675534	0.7116	1.25663706144	2.0617	1	
20200424_212554.296979	0.448401123334	0.7408	1.38003675534	0.7307	1.25663706144	2.0871	1	
20200424_212554.397533	0.448401123334	0.7303	1.38003675534	0.7475	1.25663706144	2.0866	1	
20200424_212554.497155	0.448401123334	0.721	1.38003675534	0.7632	1.25663706144	2.0861	1	
20200424_212554.596947	0.448401123334	0.7122	1.38003675534	0.7786	1.25663706144	2.0786	1	
20200424_212554.697424	0.448401123334	0.7036	1.38003675534	0.7942	1.25663706144	2.0666	1	
20200424_212554.797509	0.448401123334	0.6937	1.38003675534	0.8113	1.25663706144	2.0472	1	
20200424_212554.897496	0.448401123334	0.686	1.38003675534	0.8271	1.25663706144	2.0399	1	
20200424_212554.997532	0.448401123334	0.6763	1.38003675534	0.8437	1.25663706144	2.0253	1	
20200424_212555.097450	0.448401123334	0.6674	1.38003675534	0.8625	1.25663706144	2.0245	1	
20200424_212555.197323	0.448401123334	0.6582	1.38003675534	0.8804	1.25663706144	2.0248	1	
20200424_212555.297157	0.448401123334	0.6493	1.38003675534	0.8995	1.25663706144	2.0261	1	
20200424_212555.397629	0.448401123334	0.6419	1.38003675534	0.915	1.25663706144	2.0202	1	
20200424_212555.497489	0.448401123334	0.6318	1.38003675534	0.9345	1.25663706144	2.0249	1	
20200424_212555.596993	0.448401123334	0.6235	1.38003675534	0.9511	1.25663706144	2.0241	1	
20200424_212555.697173	0.448401123334	0.6154	1.38003675534	0.9684	1.25663706144	2.0253	1	
20200424_212555.797744	0.448401123334	0.6072	1.38003675534	0.9871	1.25663706144	2.0353	1	
20200424_212555.897189	0.448401123334	0.5997	1.38003675534	1.0039	1.25663706144	2.0477	1	
20200424_212555.997325	0.448401123334	0.5901	1.38003675534	1.0226	1.25663706144	2.0496	1	
20200424_212556.097449	1.53080849893e-16	0.5813	0.5	1.0396	1.57079632679	2.0465	1	
20200424_212556.197103	1.53080849893e-16	0.5754	0.5	1.055	1.57079632679	2.0999	1	
20200424_212556.297069	1.53080849893e-16	0.5723	0.5	1.0661	1.57079632679	2.2383	1	
20200424_212556.397377	1.53080849893e-16	0.5685	0.5	1.0756	1.57079632679	2.3349	1	
20200424_212556.497447	1.53080849893e-16	0.5624	0.5	1.0871	1.57079632679	2.4863	1	
20200424_212556.597012	1.53080849893e-16	0.5545	0.5	1.0991	1.57079632679	2.6099	1	
20200424_212556.697444	1.53080849893e-16	0.5472	0.5	1.106	1.57079632679	2.7318	1	
20200424_212556.797493	1.53080849893e-16	0.5376	0.5	1.1145	1.57079632679	2.8565	1	
20200424_212556.897715	1.53080849893e-16	0.5291	0.5	1.1189	1.57079632679	2.9568	1	
20200424_212556.997138	1.53080849893e-16	0.5183	0.5	1.1242	1.57079632679	3.1072	1	
20200424_212557.097121	1.53080849893e-16	0.511	0.5	1.1272	1.57079632679	-3.0815	1	
20200424_212557.197573	1.53080849893e-16	0.5002	0.5	1.1291	1.57079632679	-2.9578	1	
20200424_212557.297689	1.53080849893e-16	0.4899	0.5	1.1308	1.57079632679	-2.8125	1	
20200424_212557.397274	1.53080849893e-16	0.4778	0.5	1.1308	1.57079632679	-2.6899	1	
20200424_212557.497491	1.53080849893e-16	0.4679	0.5	1.1291	1.57079632679	-2.5665	1	
20200424_212557.597027	1.53080849893e-16	0.4571	0.5	1.1257	1.57079632679	-2.4491	1	
20200424_212557.697238	1.53080849893e-16	0.4468	0.5	1.1204	1.57079632679	-2.3711	1	
20200424_212557.797619	1.53080849893e-16	0.4321	0.5	1.1093	1.57079632679	-2.2859	1	
20200424_212557.897341	1.53080849893e-16	0.4217	0.5	1.0993	1.57079632679	-2.2534	1	
20200424_212557.997698	1.53080849893e-16	0.4092	0.5	1.0846	1.57079632679	-2.2332	1	
20200424_212558.097366	-0.448401123334	0.3972	1.38003675534	1.0692	1.88495559215	-2.24	1	
20200424_212558.197469	-0.448401123334	0.3903	1.38003675534	1.0575	1.88495559215	-2.3176	1	
20200424_212558.297119	-0.448401123334	0.3869	1.38003675534	1.049	1.88495559215	-2.4267	1	
20200424_212558.397102	-0.448401123334	0.3834	1.38003675534	1.0414	1.88495559215	-2.5612	1	
20200424_212558.497416	-0.448401123334	0.3784	1.38003675534	1.0341	1.88495559215	-2.6588	1	
20200424_212558.597007	-0.448401123334	0.372	1.38003675534	1.0269	1.88495559215	-2.7855	1	
20200424_212558.697271	-0.448401123334	0.3646	1.38003675534	1.0201	1.88495559215	-2.9339	1	
20200424_212558.797251	-0.448401123334	0.3585	1.38003675534	1.0153	1.88495559215	-3.026	1	
20200424_212558.897073	-0.448401123334	0.3496	1.38003675534	1.0104	1.88495559215	3.1239	1	
20200424_212558.997582	-0.448401123334	0.3409	1.38003675534	1.0077	1.88495559215	2.9973	1	
20200424_212559.097273	-0.448401123334	0.3312	1.38003675534	1.0066	1.88495559215	2.9098	1	
20200424_212559.197131	-0.448401123334	0.32	1.38003675534	1.0075	1.88495559215	2.8391	1	
20200424_212559.297406	-0.448401123334	0.3052	1.38003675534	1.0106	1.88495559215	2.8039	1	
20200424_212559.397222	-0.448401123334	0.2895	1.38003675534	1.0151	1.88495559215	2.7742	1	
20200424_212559.497583	-0.448401123334	0.2719	1.38003675534	1.0217	1.88495559215	2.7546	1	
20200424_212559.596989	-0.448401123334	0.2558	1.38003675534	1.028	1.88495559215	2.7437	1	
20200424_212559.697523	-0.448401123334	0.2384	1.38003675534	1.0358	1.88495559215	2.7177	1	
20200424_212559.797512	-0.448401123334	0.2208	1.38003675534	1.0439	1.88495559215	2.7437	1	
20200424_212559.897179	-0.448401123334	0.2013	1.38003675534	1.0522	1.88495559215	2.7476	1	
20200424_212559.997213	-0.448401123334	0.183	1.38003675534	1.0604	1.88495559215	2.7464	1	
20200424_212600.097006	-0.639384128959	0.1652	0.880036755335	1.0681	2.19911485751	2.7688	1	
20200424_212600.197083	-0.639384128959	0.1522	0.880036755335	1.0767	2.19911485751	2.8578	1	
20200424_212600.297583	-0.639384128959	0.1435	0.880036755335	1.0829	2.19911485751	2.9578	1	
