Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_223611.250823	0.324759526419	-1.1348	-0.3125	-1.1483	0.523598775598	0.87	1	
20200423_223611.352549	0.324759526419	-1.1347	-0.3125	-1.1483	0.523598775598	0.8704	1	
20200423_223611.451706	0.324759526419	-1.1341	-0.3125	-1.1473	0.523598775598	0.8589	1	
20200423_223611.551964	0.324759526419	-1.1298	-0.3125	-1.1414	0.523598775598	0.8237	1	
20200423_223611.652116	0.324759526419	-1.1251	-0.3125	-1.1346	0.523598775598	0.78	1	
20200423_223611.751776	0.324759526419	-1.1188	-0.3125	-1.1262	0.523598775598	0.713	1	
20200423_223611.852223	0.324759526419	-1.1144	-0.3125	-1.12	0.523598775598	0.6371	1	
20200423_223611.951748	0.324759526419	-1.1063	-0.3125	-1.1121	0.523598775598	0.5648	1	
20200423_223612.052654	0.324759526419	-1.1	-0.3125	-1.1065	0.523598775598	0.4913	1	
20200423_223612.151834	0.324759526419	-1.0922	-0.3125	-1.1006	0.523598775598	0.436	1	
20200423_223612.251790	0.324759526419	-1.0861	-0.3125	-1.0973	0.523598775598	0.4162	1	
20200423_223612.351902	0.324759526419	-1.0749	-0.3125	-1.0911	0.523598775598	0.4108	1	
20200423_223612.452141	0.324759526419	-1.0656	-0.3125	-1.0876	0.523598775598	0.4258	1	
20200423_223612.552337	0.324759526419	-1.0569	-0.3125	-1.0849	0.523598775598	0.4679	1	
20200423_223612.652234	0.324759526419	-1.0486	-0.3125	-1.0809	0.523598775598	0.5102	1	
20200423_223612.752499	0.324759526419	-1.0386	-0.3125	-1.0751	0.523598775598	0.5242	1	
20200423_223612.851785	0.324759526419	-1.0324	-0.3125	-1.0717	0.523598775598	0.527	1	
20200423_223612.952330	0.324759526419	-1.0232	-0.3125	-1.0654	0.523598775598	0.521	1	
20200423_223613.051971	0.324759526419	-1.0146	-0.3125	-1.0599	0.523598775598	0.5177	1	
20200423_223613.152342	0.324759526419	-1.0061	-0.3125	-1.0553	0.523598775598	0.5252	1	
20200423_223613.251671	0.324759526419	-0.9974	-0.3125	-1.0503	0.523598775598	0.5255	1	
20200423_223613.351580	0.324759526419	-0.9901	-0.3125	-1.0451	0.523598775598	0.5225	1	
20200423_223613.451885	0.324759526419	-0.981	-0.3125	-1.0393	0.523598775598	0.5182	1	
20200423_223613.552661	0.324759526419	-0.9737	-0.3125	-1.0349	0.523598775598	0.5202	1	
20200423_223613.651973	0.324759526419	-0.9643	-0.3125	-1.0291	0.523598775598	0.5199	1	
20200423_223613.752577	0.324759526419	-0.9557	-0.3125	-1.0239	0.523598775598	0.5202	1	
20200423_223613.852381	0.324759526419	-0.9488	-0.3125	-1.0192	0.523598775598	0.5204	1	
20200423_223613.952762	0.324759526419	-0.9388	-0.3125	-1.0132	0.523598775598	0.5202	1	
20200423_223614.051755	0.324759526419	-0.9333	-0.3125	-1.0103	0.523598775598	0.5243	1	
20200423_223614.152704	0.324759526419	-0.9245	-0.3125	-1.0047	0.523598775598	0.5251	1	
20200423_223614.251887	0.324759526419	-0.9171	-0.3125	-0.9994	0.523598775598	0.5217	1	
20200423_223614.352939	0.324759526419	-0.9084	-0.3125	-0.9935	0.523598775598	0.5237	1	
20200423_223614.451993	0.324759526419	-0.8994	-0.3125	-0.9882	0.523598775598	0.5219	1	
20200423_223614.551642	0.324759526419	-0.8923	-0.3125	-0.9839	0.523598775598	0.5231	1	
20200423_223614.651860	0.324759526419	-0.883	-0.3125	-0.9781	0.523598775598	0.5181	1	
20200423_223614.752247	0.324759526419	-0.876	-0.3125	-0.9738	0.523598775598	0.5217	1	
20200423_223614.852273	0.324759526419	-0.8664	-0.3125	-0.9676	0.523598775598	0.5155	1	
20200423_223614.952357	0.324759526419	-0.8587	-0.3125	-0.963	0.523598775598	0.5099	1	
20200423_223615.053602	0.324759526419	-0.8508	-0.3125	-0.9578	0.523598775598	0.5085	1	
20200423_223615.151972	0.324759526419	-0.8403	-0.3125	-0.9517	0.523598775598	0.5107	1	
20200423_223615.251683	0.324759526419	-0.8348	-0.3125	-0.9487	0.523598775598	0.516	1	
20200423_223615.351863	0.324759526419	-0.8247	-0.3125	-0.9426	0.523598775598	0.5184	1	
20200423_223615.452002	0.324759526419	-0.8176	-0.3125	-0.9379	0.523598775598	0.5159	1	
20200423_223615.552347	0.324759526419	-0.8086	-0.3125	-0.932	0.523598775598	0.514	1	
20200423_223615.651820	0.324759526419	-0.8003	-0.3125	-0.9267	0.523598775598	0.5148	1	
20200423_223615.751922	0.324759526419	-0.7929	-0.3125	-0.9219	0.523598775598	0.5131	1	
20200423_223615.852793	0.324759526419	-0.7842	-0.3125	-0.9166	0.523598775598	0.5111	1	
20200423_223615.952508	0.324759526419	-0.777	-0.3125	-0.9125	0.523598775598	0.5155	1	
20200423_223616.051603	0.324759526419	-0.7674	-0.3125	-0.9062	0.523598775598	0.5086	1	
20200423_223616.152185	0.324759526419	-0.7595	-0.3125	-0.9014	0.523598775598	0.5032	1	
20200423_223616.251394	0.324759526419	-0.7513	-0.3125	-0.8969	0.523598775598	0.5053	1	
20200423_223616.352122	0.324759526419	-0.7412	-0.3125	-0.8915	0.523598775598	0.5148	1	
20200423_223616.452513	0.324759526419	-0.736	-0.3125	-0.8876	0.523598775598	0.5079	1	
20200423_223616.552772	0.324759526419	-0.7271	-0.3125	-0.8826	0.523598775598	0.5085	1	
20200423_223616.651731	0.324759526419	-0.7184	-0.3125	-0.8774	0.523598775598	0.5093	1	
