Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_223806.457603	1.5	1.2638	-1.0	0.2352	0.0	0.4757	1	
20200423_223806.559028	1.5	1.264	-1.0	0.2354	0.0	0.4696	1	
20200423_223806.657091	1.5	1.265	-1.0	0.2359	0.0	0.4485	1	
20200423_223806.758293	1.5	1.2659	-1.0	0.2373	0.0	0.4271	1	
20200423_223806.858303	1.5	1.2692	-1.0	0.2409	0.0	0.3735	1	
20200423_223806.958067	1.5	1.2732	-1.0	0.245	0.0	0.2959	1	
20200423_223807.057328	1.5	1.2783	-1.0	0.2494	0.0	0.2186	1	
20200423_223807.157305	1.5	1.2826	-1.0	0.2526	0.0	0.1497	1	
20200423_223807.258229	1.5	1.287	-1.0	0.2554	0.0	0.0732	1	
20200423_223807.357297	1.5	1.2923	-1.0	0.2578	0.0	0.0047	1	
20200423_223807.458334	1.5	1.2978	-1.0	0.2603	0.0	-0.0668	1	
20200423_223807.558616	1.5	1.3052	-1.0	0.2619	0.0	-0.1458	1	
20200423_223807.657171	1.5	1.3123	-1.0	0.2633	0.0	-0.2226	1	
20200423_223807.758311	1.5	1.3189	-1.0	0.2636	0.0	-0.2907	1	
20200423_223807.858737	1.5	1.327	-1.0	0.2637	0.0	-0.36	1	
20200423_223807.957599	1.5	1.3345	-1.0	0.2627	0.0	-0.4209	1	
20200423_223808.057544	1.5	1.3409	-1.0	0.2626	0.0	-0.4951	1	
20200423_223808.158436	1.5	1.3489	-1.0	0.2611	0.0	-0.5651	1	
20200423_223808.258589	1.5	1.3558	-1.0	0.259	0.0	-0.6226	1	
20200423_223808.357459	1.5	1.3637	-1.0	0.2566	0.0	-0.7037	1	
20200423_223808.458232	1.5	1.372	-1.0	0.2523	0.0	-0.7804	1	
20200423_223808.557172	1.5	1.3785	-1.0	0.248	0.0	-0.8479	1	
20200423_223808.657176	1.5	1.3843	-1.0	0.2441	0.0	-0.8966	1	
20200423_223808.758497	1.5	1.392	-1.0	0.2386	0.0	-0.9747	1	
20200423_223808.859082	1.5	1.3986	-1.0	0.2326	0.0	-1.0463	1	
20200423_223808.958285	1.5	1.4038	-1.0	0.2279	0.0	-1.1081	1	
20200423_223809.058340	1.5	1.4105	-1.0	0.2198	0.0	-1.1871	1	
20200423_223809.159091	1.5	1.4162	-1.0	0.2125	0.0	-1.2629	1	
20200423_223809.257209	1.5	1.4211	-1.0	0.2045	0.0	-1.3426	1	
20200423_223809.357840	1.5	1.4261	-1.0	0.1963	0.0	-1.4209	1	
20200423_223809.457316	1.5	1.429	-1.0	0.1878	0.0	-1.4932	1	
20200423_223809.558814	1.5	1.4321	-1.0	0.1797	0.0	-1.5585	1	
20200423_223809.657649	1.5	1.4334	-1.0	0.1706	0.0	-1.5962	1	
20200423_223809.758880	1.5	1.434	-1.0	0.1596	0.0	-1.6062	1	
20200423_223809.859111	1.5	1.4337	-1.0	0.1506	0.0	-1.6061	1	
20200423_223809.957463	1.5	1.4319	-1.0	0.1406	0.0	-1.5598	1	
20200423_223810.057829	1.5	1.4301	-1.0	0.1294	0.0	-1.4991	1	
20200423_223810.157206	1.5	1.4303	-1.0	0.1193	0.0	-1.4643	1	
20200423_223810.258294	1.5	1.431	-1.0	0.1096	0.0	-1.4634	1	
20200423_223810.359378	1.5	1.4317	-1.0	0.0995	0.0	-1.4657	1	
20200423_223810.459298	1.5	1.4332	-1.0	0.0894	0.0	-1.456	1	
20200423_223810.557570	1.5	1.4346	-1.0	0.0805	0.0	-1.4542	1	
20200423_223810.658368	1.5	1.4354	-1.0	0.0703	0.0	-1.4536	1	
20200423_223810.757275	1.5	1.4367	-1.0	0.0593	0.0	-1.4448	1	
20200423_223810.857205	1.5	1.438	-1.0	0.0509	0.0	-1.4603	1	
20200423_223810.958582	1.5	1.4396	-1.0	0.0404	0.0	-1.4431	1	
20200423_223811.059598	1.5	1.4405	-1.0	0.0308	0.0	-1.4595	1	
20200423_223811.157453	1.5	1.4419	-1.0	0.0212	0.0	-1.4601	1	
20200423_223811.258696	1.5	1.4429	-1.0	0.0108	0.0	-1.4309	1	
20200423_223811.358976	1.5	1.4443	-1.0	0.0004	0.0	-1.4539	1	
20200423_223811.457783	1.5	1.4459	-1.0	-0.0076	0.0	-1.4515	1	
20200423_223811.560429	1.5	1.4467	-1.0	-0.018	0.0	-1.4565	1	
20200423_223811.657224	1.5	1.4477	-1.0	-0.0287	0.0	-1.4601	1	
20200423_223811.759041	1.5	1.4493	-1.0	-0.0377	0.0	-1.4534	1	
20200423_223811.857408	1.5	1.4506	-1.0	-0.0495	0.0	-1.4583	1	
20200423_223811.958903	1.5	1.4513	-1.0	-0.057	0.0	-1.4537	1	
20200423_223812.057197	1.5	1.4524	-1.0	-0.0674	0.0	-1.4533	1	
20200423_223812.157452	1.5	1.4538	-1.0	-0.0762	0.0	-1.4603	1	
20200423_223812.257884	1.5	1.4559	-1.0	-0.087	0.0	-1.4621	1	
20200423_223812.357169	1.5	1.4566	-1.0	-0.0959	0.0	-1.4508	1	
20200423_223812.460174	1.5	1.4575	-1.0	-0.1051	0.0	-1.429	1	
20200423_223812.558228	1.5	1.4583	-1.0	-0.1157	0.0	-1.4549	1	
20200423_223812.658283	1.5	1.4617	-1.0	-0.1251	0.0	-1.4763	1	
20200423_223812.758162	1.5	1.4628	-1.0	-0.134	0.0	-1.5199	1	
20200423_223812.858829	1.5	1.464	-1.0	-0.1423	0.0	-1.5102	1	
20200423_223812.957269	1.5	1.4645	-1.0	-0.1531	0.0	-1.4969	1	
20200423_223813.057558	1.5	1.4642	-1.0	-0.1614	0.0	-1.4911	1	
20200423_223813.157112	1.5	1.4643	-1.0	-0.172	0.0	-1.487	1	
20200423_223813.258538	1.5	1.4651	-1.0	-0.182	0.0	-1.4953	1	
20200423_223813.359744	1.5	1.4656	-1.0	-0.1918	0.0	-1.5228	1	
20200423_223813.458494	1.5	1.4664	-1.0	-0.2032	0.0	-1.5206	1	
20200423_223813.557050	1.5	1.4662	-1.0	-0.2107	0.0	-1.4938	1	
20200423_223813.658378	1.5	1.4671	-1.0	-0.2215	0.0	-1.4967	1	
20200423_223813.757392	1.5	1.468	-1.0	-0.2313	0.0	-1.4974	1	
20200423_223813.858966	1.5	1.4683	-1.0	-0.2415	0.0	-1.5178	1	
20200423_223813.957340	1.5	1.4691	-1.0	-0.2513	0.0	-1.4969	1	
20200423_223814.058411	1.5	1.4696	-1.0	-0.26	0.0	-1.4951	1	
20200423_223814.158480	1.5	1.4705	-1.0	-0.2709	0.0	-1.5106	1	
20200423_223814.258188	1.5	1.4712	-1.0	-0.2803	0.0	-1.4863	1	
20200423_223814.358147	1.5	1.471	-1.0	-0.2893	0.0	-1.4853	1	
20200423_223814.458826	1.5	1.4723	-1.0	-0.3001	0.0	-1.5053	1	
20200423_223814.558862	1.5	1.4724	-1.0	-0.3092	0.0	-1.4826	1	
20200423_223814.657454	1.5	1.4733	-1.0	-0.3186	0.0	-1.4867	1	
20200423_223814.758367	1.5	1.4736	-1.0	-0.3298	0.0	-1.4866	1	
20200423_223814.857964	1.5	1.4742	-1.0	-0.338	0.0	-1.4916	1	
20200423_223814.957855	1.5	1.475	-1.0	-0.3494	0.0	-1.5096	1	
20200423_223815.058243	1.5	1.4757	-1.0	-0.3581	0.0	-1.4905	1	
20200423_223815.158191	1.5	1.4765	-1.0	-0.3692	0.0	-1.489	1	
20200423_223815.257301	1.5	1.4775	-1.0	-0.379	0.0	-1.4923	1	
20200423_223815.358804	1.5	1.4775	-1.0	-0.3859	0.0	-1.4919	1	
20200423_223815.457315	1.5	1.479	-1.0	-0.399	0.0	-1.4856	1	
20200423_223815.557279	1.5	1.4795	-1.0	-0.4083	0.0	-1.4991	1	
20200423_223815.659340	1.5	1.4808	-1.0	-0.4187	0.0	-1.4825	1	
20200423_223815.758014	1.5	1.4806	-1.0	-0.4262	0.0	-1.4843	1	
20200423_223815.858668	1.5	1.4814	-1.0	-0.4369	0.0	-1.4829	1	
