Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_224241.313351	0.5	0.8198	-0.5	-1.2325	0.0	3.0919	1	
20200423_224241.414189	0.5	0.8197	-0.5	-1.2325	0.0	3.0853	1	
20200423_224241.514741	0.5	0.816	-0.5	-1.2327	0.0	3.0685	1	
20200423_224241.613912	0.5	0.8097	-0.5	-1.233	0.0	3.0297	1	
20200423_224241.714148	0.5	0.8084	-0.5	-1.2332	0.0	3.0177	1	
20200423_224241.814846	0.5	0.8084	-0.5	-1.2332	0.0	3.0177	1	
20200423_224241.914009	0.5	0.8084	-0.5	-1.2332	0.0	3.0177	1	
20200423_224242.013879	0.5	0.8084	-0.5	-1.2332	0.0	3.0177	1	
20200423_224242.114227	0.5	0.7717	-0.5	-1.234	0.0	2.6556	1	
20200423_224242.214569	0.5	0.7643	-0.5	-1.2317	0.0	2.5926	1	
20200423_224242.314030	0.5	0.757	-0.5	-1.2296	0.0	2.5101	1	
20200423_224242.414705	0.5	0.7497	-0.5	-1.2265	0.0	2.444	1	
20200423_224242.513979	0.5	0.7422	-0.5	-1.2231	0.0	2.3635	1	
20200423_224242.613878	0.5	0.7337	-0.5	-1.2178	0.0	2.264	1	
20200423_224242.714546	0.5	0.7269	-0.5	-1.2134	0.0	2.1818	1	
20200423_224242.815016	0.5	0.7196	-0.5	-1.2066	0.0	2.1114	1	
20200423_224242.914990	0.5	0.7134	-0.5	-1.2001	0.0	2.0326	1	
20200423_224243.014833	0.5	0.7084	-0.5	-1.1941	0.0	2.0055	1	
20200423_224243.114043	0.5	0.704	-0.5	-1.189	0.0	1.9384	1	
20200423_224243.214093	0.5	0.6981	-0.5	-1.1806	0.0	1.8654	1	
20200423_224243.314789	0.5	0.694	-0.5	-1.1723	0.0	1.8295	1	
20200423_224243.414228	0.5	0.691	-0.5	-1.1621	0.0	1.8262	1	
20200423_224243.515078	0.5	0.6877	-0.5	-1.1517	0.0	1.8397	1	
20200423_224243.613873	0.5	0.6858	-0.5	-1.1436	0.0	1.8409	1	
20200423_224243.714735	0.5	0.6836	-0.5	-1.133	0.0	1.8275	1	
20200423_224243.814612	0.5	0.6805	-0.5	-1.1249	0.0	1.8281	1	
20200423_224243.915006	0.5	0.6782	-0.5	-1.1142	0.0	1.8325	1	
20200423_224244.014260	0.5	0.6756	-0.5	-1.1052	0.0	1.8394	1	
20200423_224244.114995	0.5	0.6733	-0.5	-1.0964	0.0	1.8326	1	
20200423_224244.214770	0.5	0.6713	-0.5	-1.0862	0.0	1.8323	1	
20200423_224244.313838	0.5	0.6689	-0.5	-1.0779	0.0	1.8311	1	
20200423_224244.415060	0.404508497187	0.6661	-0.206107373854	-1.0675	0.628318530718	1.8292	1	
20200423_224244.515122	0.404508497187	0.6639	-0.206107373854	-1.0582	0.628318530718	1.8283	1	
20200423_224244.613816	0.404508497187	0.6604	-0.206107373854	-1.0472	0.628318530718	1.8278	1	
20200423_224244.714513	0.404508497187	0.6596	-0.206107373854	-1.0399	0.628318530718	1.8449	1	
20200423_224244.814682	0.404508497187	0.6565	-0.206107373854	-1.0296	0.628318530718	1.8284	1	
20200423_224244.914647	0.404508497187	0.6545	-0.206107373854	-1.0214	0.628318530718	1.8448	1	
20200423_224245.014220	0.404508497187	0.6518	-0.206107373854	-1.0106	0.628318530718	1.8243	1	
20200423_224245.114328	0.404508497187	0.6494	-0.206107373854	-1.0015	0.628318530718	1.8262	1	
20200423_224245.213921	0.404508497187	0.6467	-0.206107373854	-0.992	0.628318530718	1.8287	1	
20200423_224245.314961	0.404508497187	0.6448	-0.206107373854	-0.983	0.628318530718	1.831	1	
20200423_224245.414228	0.404508497187	0.642	-0.206107373854	-0.9732	0.628318530718	1.8497	1	
20200423_224245.513966	0.404508497187	0.6393	-0.206107373854	-0.9637	0.628318530718	1.8515	1	
20200423_224245.613786	0.404508497187	0.6376	-0.206107373854	-0.9563	0.628318530718	1.8497	1	
20200423_224245.714539	0.404508497187	0.6345	-0.206107373854	-0.9459	0.628318530718	1.8481	1	
20200423_224245.814633	0.404508497187	0.6317	-0.206107373854	-0.9357	0.628318530718	1.8298	1	
20200423_224245.913948	0.404508497187	0.6295	-0.206107373854	-0.9256	0.628318530718	1.8315	1	
20200423_224246.014145	0.404508497187	0.6263	-0.206107373854	-0.9158	0.628318530718	1.85	1	
20200423_224246.114702	0.404508497187	0.6244	-0.206107373854	-0.9075	0.628318530718	1.8508	1	
20200423_224246.214064	0.404508497187	0.6217	-0.206107373854	-0.8979	0.628318530718	1.8493	1	
20200423_224246.314630	0.404508497187	0.6186	-0.206107373854	-0.888	0.628318530718	1.8477	1	
