Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_225047.073086	0.75	0.5884	0.0	-0.4109	0.0	-0.6645	1	
20200423_225047.168103	0.75	0.5883	0.0	-0.4109	0.0	-0.6607	1	
20200423_225047.268299	0.75	0.5891	0.0	-0.4122	0.0	-0.6388	1	
20200423_225047.368265	0.75	0.591	0.0	-0.416	0.0	-0.5947	1	
20200423_225047.468260	0.75	0.5942	0.0	-0.4226	0.0	-0.5186	1	
20200423_225047.566898	0.75	0.5969	0.0	-0.4276	0.0	-0.4496	1	
20200423_225047.667514	0.75	0.5997	0.0	-0.4332	0.0	-0.3713	1	
20200423_225047.768485	0.75	0.603	0.0	-0.4384	0.0	-0.2943	1	
20200423_225047.868355	0.75	0.6079	0.0	-0.4442	0.0	-0.2177	1	
20200423_225047.968130	0.75	0.6136	0.0	-0.4488	0.0	-0.1418	1	
20200423_225048.067819	0.75	0.6189	0.0	-0.4536	0.0	-0.0647	1	
20200423_225048.167653	0.75	0.6246	0.0	-0.457	0.0	0.0074	1	
20200423_225048.267387	0.75	0.6323	0.0	-0.4612	0.0	0.0833	1	
20200423_225048.368209	0.75	0.6393	0.0	-0.4641	0.0	0.1621	1	
20200423_225048.466958	0.75	0.6472	0.0	-0.4663	0.0	0.2375	1	
20200423_225048.566859	0.75	0.6544	0.0	-0.4683	0.0	0.3123	1	
20200423_225048.667683	0.75	0.6632	0.0	-0.4685	0.0	0.3779	1	
20200423_225048.767683	0.75	0.67	0.0	-0.4694	0.0	0.4492	1	
20200423_225048.867672	0.75	0.6806	0.0	-0.4688	0.0	0.5317	1	
20200423_225048.967833	0.75	0.6885	0.0	-0.468	0.0	0.6014	1	
20200423_225049.067640	0.75	0.6968	0.0	-0.4661	0.0	0.6789	1	
20200423_225049.167768	0.75	0.7045	0.0	-0.4642	0.0	0.7492	1	
20200423_225049.268344	0.75	0.7135	0.0	-0.4611	0.0	0.8196	1	
20200423_225049.367506	0.75	0.7205	0.0	-0.4588	0.0	0.8914	1	
20200423_225049.467490	0.75	0.7283	0.0	-0.4543	0.0	0.9634	1	
20200423_225049.567113	0.75	0.736	0.0	-0.45	0.0	1.0444	1	
20200423_225049.667728	0.75	0.7437	0.0	-0.4425	0.0	1.1133	1	
20200423_225049.767389	0.75	0.7502	0.0	-0.4382	0.0	1.19	1	
20200423_225049.866988	0.75	0.7559	0.0	-0.431	0.0	1.2635	1	
20200423_225049.967919	0.75	0.7626	0.0	-0.4241	0.0	1.3439	1	
20200423_225050.068829	0.75	0.7677	0.0	-0.4152	0.0	1.42	1	
20200423_225050.167944	0.606762745781	0.7727	0.440838939219	-0.4079	0.628318530718	1.4955	1	
20200423_225050.267467	0.606762745781	0.7768	0.440838939219	-0.4003	0.628318530718	1.5642	1	
20200423_225050.368373	0.606762745781	0.7768	0.440838939219	-0.4003	0.628318530718	1.5642	1	
20200423_225050.467998	0.606762745781	0.7768	0.440838939219	-0.4003	0.628318530718	1.5642	1	
20200423_225050.567187	0.606762745781	0.7768	0.440838939219	-0.4003	0.628318530718	1.5642	1	
20200423_225050.667912	0.606762745781	0.7878	0.440838939219	-0.3638	0.628318530718	1.8531	1	
20200423_225050.770254	0.606762745781	0.7878	0.440838939219	-0.3638	0.628318530718	1.8531	1	
20200423_225050.867620	0.606762745781	0.7862	0.440838939219	-0.3444	0.628318530718	1.967	1	
20200423_225050.967267	0.606762745781	0.7839	0.440838939219	-0.34	0.628318530718	1.9752	1	
20200423_225051.067093	0.606762745781	0.7781	0.440838939219	-0.3284	0.628318530718	1.9436	1	
