Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
32679	1.5453	1	
20200424_205155.944462	3.06161699787e-17	0.0236	0.5	0.4973	1.57079632679	1.5455	0	
20200424_205156.044488	3.06161699787e-17	0.0239	0.5	0.4971	1.57079632679	1.5403	0	
20200424_205156.144438	3.06161699787e-17	0.0237	0.5	0.4974	1.57079632679	1.5461	0	
20200424_205156.244370	3.06161699787e-17	0.0237	0.5	0.4974	1.57079632679	1.5462	0	
20200424_205156.344467	3.06161699787e-17	0.0236	0.5	0.4973	1.57079632679	1.5456	0	
20200424_205156.444367	3.06161699787e-17	0.0239	0.5	0.4972	1.57079632679	1.5406	0	
20200424_205156.544369	3.06161699787e-17	0.0237	0.5	0.4974	1.57079632679	1.546	0	
20200424_205156.644437	3.06161699787e-17	0.0235	0.5	0.4974	1.57079632679	1.5451	0	
20200424_205156.744464	3.06161699787e-17	0.0237	0.5	0.4974	1.57079632679	1.5465	0	
20200424_205156.844496	3.06161699787e-17	0.0237	0.5	0.4974	1.57079632679	1.5464	0	
20200424_205156.944473	3.06161699787e-17	0.0237	0.5	0.4974	1.57079632679	1.5462	0	
20200424_205157.044502	3.06161699787e-17	0.0235	0.5	0.4974	1.57079632679	1.5455	0	
20200424_205157.144450	3.06161699787e-17	0.0235	0.5	0.4973	1.57079632679	1.5454	0	
20200424_205157.244353	3.06161699787e-17	0.0237	0.5	0.4974	1.57079632679	1.5457	0	
20200424_205157.344416	3.06161699787e-17	0.0236	0.5	0.4974	1.57079632679	1.5456	0	
20200424_205157.444465	3.06161699787e-17	0.0235	0.5	0.4973	1.57079632679	1.5451	0	
20200424_205157.544518	3.06161699787e-17	0.0235	0.5	0.4973	1.57079632679	1.545	0	
20200424_205157.644359	3.06161699787e-17	0.0238	0.5	0.4974	1.57079632679	1.5459	0	
20200424_205157.744412	3.06161699787e-17	0.0238	0.5	0.4973	1.57079632679	1.5454	0	
20200424_205157.844452	3.06161699787e-17	0.0235	0.5	0.4973	1.57079632679	1.545	0	
20200424_205157.944417	3.06161699787e-17	0.0239	0.5	0.4971	1.57079632679	1.5402	0	
20200424_205158.044438	3.06161699787e-17	0.0237	0.5	0.4973	1.57079632679	1.5451	0	
20200424_205158.144380	3.06161699787e-17	0.0237	0.5	0.4973	1.57079632679	1.5459	0	
20200424_205158.244442	3.06161699787e-17	0.0236	0.5	0.4974	1.57079632679	1.5453	0	
20200424_205158.344541	3.06161699787e-17	0.024	0.5	0.4972	1.57079632679	1.5412	0	
20200424_205158.444556	3.06161699787e-17	0.0237	0.5	0.4974	1.57079632679	1.5461	0	
20200424_205158.544528	3.06161699787e-17	0.0236	0.5	0.4974	1.57079632679	1.5448	0	
20200424_205158.644325	3.06161699787e-17	0.0235	0.5	0.4974	1.57079632679	1.5451	0	
20200424_205158.744376	3.06161699787e-17	0.0237	0.5	0.4974	1.57079632679	1.5459	0	
20200424_205158.844531	3.06161699787e-17	0.0237	0.5	0.4974	1.57079632679	1.5459	0	
20200424_205158.944458	-0.352671151375	0.0236	0.485410196625	0.4978	2.19911485751	1.5573	1	
20200424_205159.044375	-0.352671151375	0.0235	0.485410196625	0.4994	2.19911485751	1.569	1	
20200424_205159.144456	-0.352671151375	0.0245	0.485410196625	0.5018	2.19911485751	1.5902	1	
20200424_205159.244396	-0.352671151375	0.0241	0.485410196625	0.5057	2.19911485751	1.6454	1	
20200424_205159.344522	-0.352671151375	0.0251	0.485410196625	0.5126	2.19911485751	1.7279	1	
20200424_205159.444629	-0.352671151375	0.0253	0.485410196625	0.5129	2.19911485751	1.7335	1	
20200424_205159.544570	-0.352671151375	0.026	0.485410196625	0.53	2.19911485751	1.9501	1	
20200424_205159.644382	-0.352671151375	0.024	0.485410196625	0.5409	2.19911485751	2.0722	1	
20200424_205159.744406	-0.352671151375	0.0203	0.485410196625	0.5484	2.19911485751	2.169	1	
20200424_205159.844577	-0.352671151375	0.0162	0.485410196625	0.5576	2.19911485751	2.2873	1	
20200424_205159.944481	-0.352671151375	0.0115	0.485410196625	0.5665	2.19911485751	2.412	1	
20200424_205200.044467	-0.352671151375	0.0042	0.485410196625	0.5745	2.19911485751	2.5285	1	
20200424_205200.144543	-0.352671151375	-0.003	0.485410196625	0.5821	2.19911485751	2.6565	1	
20200424_205200.244472	-0.352671151375	-0.0119	0.485410196625	0.5881	2.19911485751	2.7913	1	
20200424_205200.344448	-0.352671151375	-0.016	0.485410196625	0.5906	2.19911485751	2.863	1	
20200424_205200.444377	-0.352671151375	-0.0245	0.485410196625	0.5947	2.19911485751	2.9777	1	
20200424_205200.544433	-0.352671151375	-0.0339	0.485410196625	0.5984	2.19911485751	3.0976	1	
20200424_205200.644440	-0.352671151375	-0.045	0.485410196625	0.6007	2.19911485751	-3.0629	1	
20200424_205200.744470	-0.352671151375	-0.0576	0.485410196625	0.6	2.19911485751	-2.9813	1	
20200424_205200.844551	-0.352671151375	-0.0698	0.485410196625	0.5996	2.19911485751	-2.9225	1	
20200424_205200.944529	-0.352671151375	-0.0851	0.485410196625	0.5964	2.19911485751	-2.8957	1	
20200424_205201.044450	-0.352671151375	-0.1012	0.485410196625	0.5918	2.19911485751	-2.8692	1	
20200424_205201.144423	-0.352671151375	-0.116	0.485410196625	0.5874	2.19911485751	-2.8856	1	
20200424_205201.244471	-0.352671151375	-0.136	0.485410196625	0.5809	2.19911485751	-2.8144	1	
20200424_205201.344467	-0.352671151375	-0.1538	0.485410196625	0.5755	2.19911485751	-2.7761	1	
20200424_205201.444355	-0.352671151375	-0.1688	0.485410196625	0.5681	2.19911485751	-2.7864	1	
20200424_205201.544442	-0.352671151375	-0.1892	0.485410196625	0.5613	2.19911485751	-2.7501	1	
20200424_205201.644389	-0.352671151375	-0.2104	0.485410196625	0.5524	2.19911485751	-2.7448	1	
20200424_205201.744517	-0.352671151375	-0.2251	0.485410196625	0.5459	2.19911485751	-2.7732	1	
20200424_205201.844501	-0.352671151375	-0.2407	0.485410196625	0.5396	2.19911485751	-2.7575	1	
20200424_205201.944530	-0.665739561407	-0.2547	0.216311896062	0.5332	2.82743338823	-2.7741	1	
20200424_205202.044467	-0.665739561407	-0.2683	0.216311896062	0.5281	2.82743338823	-2.7157	1	
20200424_205202.144441	-0.665739561407	-0.2814	0.216311896062	0.5225	2.82743338823	-2.6692	1	
20200424_205202.244476	-0.665739561407	-0.298	0.216311896062	0.5178	2.82743338823	-2.5775	1	
20200424_205202.344518	-0.665739561407	-0.3117	0.216311896062	0.5071	2.82743338823	-2.5689	1	
20200424_205202.444531	-0.665739561407	-0.3264	0.216311896062	0.4976	2.82743338823	-2.5363	1	
20200424_205202.544525	-0.665739561407	-0.3398	0.216311896062	0.4883	2.82743338823	-2.5339	1	
20200424_205202.644753	-0.665739561407	-0.356	0.216311896062	0.4764	2.82743338823	-2.5254	1	
20200424_205202.744437	-0.665739561407	-0.3711	0.216311896062	0.4645	2.82743338823	-2.525	1	
