Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200424_212800.311136	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5896	0	
20200424_212800.410214	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5897	0	
20200424_212800.511620	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5895	0	
20200424_212800.609792	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5896	0	
20200424_212800.710218	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5896	0	
20200424_212800.810524	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5894	0	
20200424_212800.910244	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5894	0	
20200424_212801.010576	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5894	0	
20200424_212801.110237	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5895	0	
20200424_212801.211497	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5892	0	
20200424_212801.309935	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5893	0	
20200424_212801.410318	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5894	0	
20200424_212801.510117	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5894	0	
20200424_212801.610015	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5895	0	
20200424_212801.710322	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5896	0	
20200424_212801.810519	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5895	0	
20200424_212801.910181	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5894	0	
20200424_212802.010360	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5893	0	
20200424_212802.110000	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5896	0	
20200424_212802.210143	-9.18485099361e-17	-0.0486	-0.5	-0.4756	-1.57079632679	-1.5895	0	
