Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_224604.222723	0.75	-0.3833	0.0	-0.2405	0.0	2.5274	1	
20200423_224604.323401	0.75	-0.3836	0.0	-0.2406	0.0	2.5227	1	
20200423_224604.423745	0.75	-0.3858	0.0	-0.2405	0.0	2.4904	1	
20200423_224604.523738	0.75	-0.3911	0.0	-0.2402	0.0	2.4272	1	
20200423_224604.622907	0.75	-0.3979	0.0	-0.2393	0.0	2.3477	1	
20200423_224604.723082	0.75	-0.405	0.0	-0.2373	0.0	2.2752	1	
20200423_224604.825110	0.75	-0.4103	0.0	-0.2368	0.0	2.1989	1	
20200423_224604.924321	0.75	-0.4172	0.0	-0.2333	0.0	2.1276	1	
20200423_224605.023369	0.75	-0.4231	0.0	-0.2302	0.0	2.0522	1	
20200423_224605.124165	0.75	-0.4287	0.0	-0.226	0.0	1.98	1	
20200423_224605.223049	0.75	-0.4342	0.0	-0.2209	0.0	1.9138	1	
20200423_224605.323361	0.75	-0.4399	0.0	-0.2156	0.0	1.8389	1	
20200423_224605.423666	0.75	-0.4448	0.0	-0.2085	0.0	1.7679	1	
20200423_224605.525082	0.75	-0.4493	0.0	-0.2034	0.0	1.6953	1	
20200423_224605.623511	0.75	-0.4542	0.0	-0.1955	0.0	1.6169	1	
20200423_224605.723362	0.75	-0.4581	0.0	-0.1885	0.0	1.5376	1	
20200423_224605.823142	0.75	-0.4621	0.0	-0.1807	0.0	1.4596	1	
20200423_224605.924913	0.75	-0.4632	0.0	-0.1733	0.0	1.402	1	
20200423_224606.023621	0.75	-0.4661	0.0	-0.1654	0.0	1.324	1	
20200423_224606.124211	0.75	-0.4677	0.0	-0.1555	0.0	1.2461	1	
20200423_224606.222896	0.75	-0.4686	0.0	-0.1453	0.0	1.1679	1	
20200423_224606.323237	0.75	-0.4683	0.0	-0.1364	0.0	1.0921	1	
20200423_224606.423219	0.75	-0.4664	0.0	-0.1247	0.0	1.0175	1	
20200423_224606.523955	0.75	-0.4656	0.0	-0.1163	0.0	0.9388	1	
20200423_224606.622751	0.75	-0.4626	0.0	-0.1058	0.0	0.8638	1	
20200423_224606.723474	0.75	-0.4583	0.0	-0.0954	0.0	0.7908	1	
20200423_224606.823027	0.75	-0.4555	0.0	-0.0875	0.0	0.7187	1	
20200423_224606.924496	0.75	-0.45	0.0	-0.0774	0.0	0.6487	1	
20200423_224607.023147	0.75	-0.444	0.0	-0.0683	0.0	0.576	1	
20200423_224607.123373	0.75	-0.4379	0.0	-0.0605	0.0	0.5016	1	
20200423_224607.222983	0.75	-0.4287	0.0	-0.0518	0.0	0.4322	1	
20200423_224607.323259	0.75	-0.4217	0.0	-0.0446	0.0	0.3537	1	
20200423_224607.423716	0.75	-0.413	0.0	-0.0378	0.0	0.2857	1	
20200423_224607.524282	0.75	-0.4065	0.0	-0.033	0.0	0.2285	1	
20200423_224607.623224	0.75	-0.3961	0.0	-0.0272	0.0	0.1493	1	
20200423_224607.723673	0.75	-0.3863	0.0	-0.0208	0.0	0.0623	1	
20200423_224607.822779	0.75	-0.3773	0.0	-0.018	0.0	0.0128	1	
20200423_224607.923317	0.75	-0.3681	0.0	-0.016	0.0	-0.0267	1	
20200423_224608.024825	0.75	-0.3557	0.0	-0.0153	0.0	-0.0339	1	
20200423_224608.123114	0.75	-0.345	0.0	-0.015	0.0	-0.037	1	
20200423_224608.223415	0.75	-0.3373	0.0	-0.0158	0.0	-0.0361	1	
20200423_224608.323592	0.75	-0.3246	0.0	-0.016	0.0	-0.0319	1	
20200423_224608.423181	0.75	-0.3167	0.0	-0.0162	0.0	-0.0335	1	
20200423_224608.523372	0.75	-0.306	0.0	-0.0165	0.0	-0.0314	1	
20200423_224608.622864	0.75	-0.2975	0.0	-0.0175	0.0	-0.0324	1	
20200423_224608.723793	0.75	-0.2864	0.0	-0.0183	0.0	-0.0298	1	
20200423_224608.823211	0.75	-0.2765	0.0	-0.0186	0.0	-0.0275	1	
20200423_224608.922792	0.75	-0.2682	0.0	-0.0187	0.0	-0.0271	1	
20200423_224609.022869	0.75	-0.2574	0.0	-0.0192	0.0	-0.0259	1	
20200423_224609.123678	0.75	-0.2487	0.0	-0.0195	0.0	-0.0252	1	
20200423_224609.223639	0.75	-0.2384	0.0	-0.0199	0.0	-0.0259	1	
20200423_224609.323418	0.75	-0.2296	0.0	-0.0198	0.0	-0.0296	1	
20200423_224609.424996	0.75	-0.2193	0.0	-0.0202	0.0	-0.0317	1	
20200423_224609.523978	0.75	-0.2097	0.0	-0.0204	0.0	-0.0266	1	
20200423_224609.622794	0.75	-0.2013	0.0	-0.0206	0.0	-0.0279	1	
20200423_224609.723540	0.75	-0.1907	0.0	-0.0203	0.0	-0.028	1	
20200423_224609.824304	0.75	-0.182	0.0	-0.0204	0.0	-0.0266	1	
20200423_224609.923146	0.75	-0.1711	0.0	-0.0212	0.0	-0.0247	1	
20200423_224610.024963	0.75	-0.1626	0.0	-0.021	0.0	-0.0237	1	
20200423_224610.123581	0.75	-0.1516	0.0	-0.021	0.0	-0.0248	1	
20200423_224610.224193	0.75	-0.141	0.0	-0.0215	0.0	-0.0178	1	
20200423_224610.323270	0.75	-0.1319	0.0	-0.0217	0.0	-0.0145	1	
20200423_224610.423476	0.75	-0.1217	0.0	-0.022	0.0	-0.014	1	
20200423_224610.523359	0.75	-0.1127	0.0	-0.0217	0.0	-0.0168	1	
20200423_224610.623053	0.75	-0.1018	0.0	-0.0224	0.0	-0.0121	1	
20200423_224610.722910	0.75	-0.0938	0.0	-0.0224	0.0	-0.0122	1	
20200423_224610.823406	0.75	-0.0821	0.0	-0.0226	0.0	-0.01	1	
20200423_224610.923424	0.75	-0.0721	0.0	-0.0231	0.0	-0.0043	1	
20200423_224611.023615	0.75	-0.0635	0.0	-0.0231	0.0	-0.0043	1	
20200423_224611.123783	0.75	-0.0507	0.0	-0.023	0.0	-0.0033	1	
20200423_224611.223283	0.75	-0.0436	0.0	-0.0232	0.0	-0.0044	1	
20200423_224611.323550	0.75	-0.0317	0.0	-0.0236	0.0	-0.0019	1	
20200423_224611.422989	0.75	-0.0237	0.0	-0.0235	0.0	-0.0022	1	
20200423_224611.524107	0.75	-0.0124	0.0	-0.0234	0.0	-0.0036	1	
20200423_224611.622803	0.75	-0.0028	0.0	-0.0235	0.0	0.003	1	
20200423_224611.724050	0.75	0.0061	0.0	-0.0242	0.0	0.0013	1	
20200423_224611.823663	0.75	0.0181	0.0	-0.0239	0.0	-0.0004	1	
20200423_224611.923674	0.75	0.025	0.0	-0.0233	0.0	-0.003	1	
20200423_224612.023697	0.75	0.0365	0.0	-0.0234	0.0	0.0017	1	
20200423_224612.123432	0.75	0.0463	0.0	-0.0235	0.0	0.0021	1	
20200423_224612.224256	0.75	0.0566	0.0	-0.0229	0.0	0.0013	1	
20200423_224612.323580	0.75	0.0661	0.0	-0.0231	0.0	0.0062	1	
20200423_224612.423354	0.75	0.0751	0.0	-0.0235	0.0	0.0046	1	
20200423_224612.523015	0.75	0.0848	0.0	-0.0228	0.0	0.005	1	
20200423_224612.622909	0.75	0.0943	0.0	-0.0229	0.0	0.0058	1	
20200423_224612.723571	0.75	0.1064	0.0	-0.0236	0.0	0.0097	1	
20200423_224612.822764	0.75	0.1141	0.0	-0.0233	0.0	0.0112	1	
20200423_224612.923680	0.75	0.1234	0.0	-0.0227	0.0	0.01	1	
20200423_224613.023869	0.75	0.1355	0.0	-0.023	0.0	0.0164	1	
20200423_224613.123389	0.75	0.1425	0.0	-0.0234	0.0	0.0153	1	
20200423_224613.223157	0.75	0.1528	0.0	-0.0224	0.0	0.0124	1	
20200423_224613.323933	0.75	0.1647	0.0	-0.0227	0.0	0.0156	1	
20200423_224613.423369	0.75	0.171	0.0	-0.0229	0.0	0.018	1	
20200423_224613.523752	0.75	0.1775	0.0	-0.0228	0.0	0.0278	1	
20200423_224613.622806	0.75	0.177	0.0	-0.0229	0.0	0.032	1	
20200423_224613.723776	0.75	0.1732	0.0	-0.0247	0.0	0.0501	1	
20200423_224613.823317	0.75	0.1539	0.0	-0.0421	0.0	0.0163	1	
20200423_224613.923180	0.75	0.1492	0.0	-0.0728	0.0	-0.0169	1	
